DENOMINATION;Code;INF4;HYD3;ENS4
DEGRADATION DE SURFACE - ARMATURE DEPASSANT SURFACE - ATTAQUE CHIMIQUE - GENERALE;BAFGB;1;15;15
DEGRADATION DE SURFACE - ARMATURE DEPASSANT SURFACE - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFGC;1;15;15
DEGRADATION DE SURFACE - ARMATURE DEPASSANT SURFACE - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFGD;1;15;15
DEGRADATION DE SURFACE - ARMATURE DEPASSANT SURFACE - AUCUNE CAUSE EVIDENTE;BAFGE;1;15;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE;BAFH;5;3;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE - ABRASION;BAFHA;1;15;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE - ATTAQUE CHIMIQUE - GENERALE;BAFHB;1;15;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFHC;1;15;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFHD;1;15;15
DEGRADATION DE SURFACE - ARMATURE CORRODEE - AUCUNE CAUSE EVIDENTE;BAFHE;1;15;15
DEGRADATION DE SURFACE - PAROI MANQUANTE;BAFI;27;5;5
DEGRADATIONS DE SURFACE - PAROI MANQUANTE - ABRASION;BAFIA;27;15;15
DEGRADATION DE SURFACE - PAROI MANQUANTE - ATTAQUE CHIMIQUE - GENERALE;BAFIB;27;15;15
DEGRADATION DE SURFACE - PAROI MANQUANTE - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFIC;27;15;15
DEGRADATION DE SURFACE - PAROI MANQUANTE - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFID;27;15;15
DEGRADATIONS DE SURFACE - PAROI MANQUANTE - AUCUNE CAUSE EVIDENTE;BAFIE;27;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE;BAFJ;0;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE - ABRASION;BAFJA;0;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE - ATTAQUE CHIMIQUE - GENERALE;BAFJB;0;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFJC;0;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFJD;0;15;15
DEGRADATION DE SURFACE - PRODUITS CORROSIFS EN SURFACE - AUCUNE CAUSE EVIDENTE;BAFJE;0;15;15
DEGRADATIONS DE SURFACE - POINCONNEMENT;BAFKA;0;15;15
DEGRADATION DE SURFACE - AUTRES DEGRADATIONS;BAFZ;27;5;5
DEGRADATION DE SURFACE - AUTRES DEGRADATIONS - ABRASION;BAFZA;27;15;15
DEGRADATION DE SURFACE - AUTRES DEGRADATIONS - ATTAQUE CHIMIQUE - GENERALE;BAFZB;27;15;15
DEGRADATION DE SURFACE - AUTRES DEGRADATIONS - ATTAQUE CHIMIQUE - DUE A H2SO4 - AU DESSUS DU NIVEAU DE L'EAU;BAFZC;27;15;15
DEGRADATION DE SURFACE - AUTRES DEGRADATIONS - ATTAQUE CHIMIQUE - DUE AUX EU - AU DESSOUS DU NIVEAU DE L'EAU;BAFZD;27;15;15
DEGRADATION DE SURFACE - AUTRES DEGRADATIONS - AUCUNE CAUSE EVIDENTE;BAFZE;27;15;15
BRANCHEMENT PENETRANT;BAG;0;15;45
POSITION INCORRECTE DU BRANCHEMENT SUR LA CANALISATION;BAHA;5;0;0
PRESENCE D'UN VIDE ENTRE LA CONDUITE DE RACCORDEMENT ET LA CANALISATION PRINCIPAL;BAHB;45;0;0
PRESENCE D'UN VIDE PARTIEL ENTRE LA CONDUITE DE RACCORDEMENT ET LA CANALISATION PRINCIPAL;BAHC;45;0;0
CONDUITE DE RACCORDEMENT ENDOMMAGEE;BAHD;45;0;0
CONDUITE DE RACCORDEMENT OBTRUEE;BAHE;5;0;0
RACCORDEMENT DEFECTUEUX;BAHZ;5;0;0
ANNEAU D'ETANCHEITE;BAIA;45;5;5
JOINT D'ETANCHEITE APPARENT - ANNEAU D'ETANCHEITE AVEC BOUCLE DEPLACEE MAIS NE DEPASSANT PAS DANS LA CANALISATION;BAIAA;45;5;5
JOINT D'ETANCHEITE APPARENT - PENETRANT MAIS NON ROMPU (AU-DESSUS DE LA MEDIANE);BAIAB;45;5;5
JOINT D'ETANCHEITE APPARENT - PENETRANT MAIS NON ROMPU (AU-DESSOUS DE LA MEDIANE);BAIAC;45;5;5
JOINT D'ETANCHEITE APPARENT - PENETRANT - ROMPU;BAIAD;45;5;5
AUTRE ELEMENT D'ETANCHEITE;BAIZ;5;5;5
DEBOITEMENT LONGITUDINAL;BAJA;5;5;5
DECENTRAGE RADIAL;BAJB;5;5;5
DEVIATION ANGULAIRE;BAJC;5;5;5
REVETEMENT DE CANALISATION  DETACHE;BAKA;0;5;5
DECOLORATION DU REVETEMENT;BAKB;0;15;15
EXTREMITE DU REVETEMENT DEFECTUEUSE;BAKC;0;15;15
REVETEMENT ONDULE;BAKD;0;15;15
REVETEMENT ONDULE - LONGITUDINALEMENT;BAKDA;0;15;15
REVETEMENT ONDULE - CIRCONFERENTIELLEMENT;BAKDB;0;15;15
REVETEMENT ONDULE - COMPLEXE;BAKDC;0;15;15
REVETEMENT CLOQUE;BAKE;0;5;5
AUTRE DE FAUT DE REVETEMENT;BAKZ;0;5;5
CONDUITE POREUSE;BAN;1;0;0
SOL VISIBLE PAR LE DEFAUT;BAO;135;0;0
VIDE VISIBLE PAR LE DEFAUT;BAP;135;0;0
GROSSE RACINE ISOLEE;BBAA;5;45;45
RADICELLES;BBAB;5;5;5
ENSEMBLE COMPLEXE DE RACINES;BBAC;5;45;45
DEPOTS ADHERENTS - CONCRETION;BBBA;45;5;5
DEPOTS ADHERENTS - GRAISSE;BBBB;5;5;5
DEPOTS ADHERENTS - ENCRASSEMENT;BBBC;0;15;15
DEPOTS ADHERENTS - AUTRE;BBBZ;5;5;5
DEPOTS - FINS;BBCA;0;5;5
DEPOTS -  GROSSIERS;BBCB;0;5;5
DEPOTS - DURS OU COMPACTES;BBCC;0;15;15
DEPOTS - AUTRES;BBCZ;0;5;5
ENTREE DE TERRE - SABLE;BBDA;0;15;15
ENTREE DE TERRE - TOURBE;BBDB;0;15;15
ENTREE DE TERRE - MATERIAU FIN;BBDC;0;15;15
ENTREE DE TERRE - GRAVIER;BBDD;0;15;15
ENTREE DE TERRE - AUTRE;BBDZ;0;15;15
